Sample	 								Entries 	SumofLHEWeights SumofGENWeights	XSec		XsecDB
TTtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8				6.65024e+07	2.22329e+10 	2.22329e+10	404.54		404.54
TTto4Q_TuneCP5_13p6TeV_powheg-pythia8					5.34755e+07	1.8574e+10 	1.8574e+10	422.08		422.08
TTto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8				2.40848e+07	1.9376e+09 	1.9376e+09	96.98		96.98
TbarWplustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8				4.36647e+06	1.57427e+08 	1.57427e+08	19.25		36.05
TbarWplusto4Q_TuneCP5_13p6TeV_powheg-pythia8				3.76295e+06	6.18321e+07 	6.18321e+07	20.08   	36.05
TWminustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8				4.74397e+06	1.70717e+08 	1.70717e+08	19.25   	35.99
TWminusto4Q_TuneCP5_13p6TeV_powheg-pythia8				3.862e+06	6.33405e+07 	6.33405e+07	20.08		35.99
TbarBQ_t-channel_4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8		1.43322e+06	1.08651e+08 	1.08651e+08	87.2		75.47
TBbarQ_t-channel_4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8		2.97368e+06	3.70365e+08 	3.70365e+08	145.0		123.8
Zto2Q-2Jets_PTQQ-100to200_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	1.01545e+07	1.88861e+10 	1.88861e+10	302.		302.
Zto2Q-2Jets_PTQQ-100to200_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	8.9951e+06	1.83864e+10 	1.83864e+10	343.9		343.9
Zto2Q-2Jets_PTQQ-200to400_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	4.47459e+06	5.95233e+08 	5.95233e+08	21.64		21.64
Zto2Q-2Jets_PTQQ-200to400_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	9.81601e+06	1.5539e+09 	1.5539e+09	48.36		48.36
Zto2Q-2Jets_PTQQ-400to600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	481551		2.76793e+06 	2.76793e+06	0.7376		0.7376
Zto2Q-2Jets_PTQQ-400to600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	710337		4.57784e+06 	4.57784e+06	2.683		2.683
Zto2Q-2Jets_PTQQ-600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8		519778		398329 		398329		0.08717		0.08717
Zto2Q-2Jets_PTQQ-600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8		540869		461324 		461324		0.4459		0.4459
Wto2Q-2Jets_PTQQ-100to200_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	4.71253e+07	4.5459e+11 	4.5459e+11	1517.		1517.
Wto2Q-2Jets_PTQQ-100to200_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	5.09976e+07	5.34325e+11 	5.34325e+11	1757.		1757.
Wto2Q-2Jets_PTQQ-200to400_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	1.04511e+07	6.69022e+09 	6.69022e+09	103.6		103.6
Wto2Q-2Jets_PTQQ-200to400_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	2.15789e+07	1.59808e+10 	1.59808e+10	227.1		227.1	
Wto2Q-2Jets_PTQQ-400to600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	485235		1.29976e+07 	1.29976e+07	3.496		3.496
Wto2Q-2Jets_PTQQ-400to600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	1.3988e+06	4.1687e+07 	4.1687e+07	12.75		12.75
Wto2Q-2Jets_PTQQ-600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8		476865		1.76369e+06 	1.76369e+06	0.4221		0.4221
Wto2Q-2Jets_PTQQ-600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8		494446		1.97547e+06 	1.97547e+06	2.128		2.128
WWto4Q_TuneCP5_13p6TeV_powheg-pythia8					2.78023e+07	1.41208e+09 	1.41208e+09	50.79		50.79
WZ_TuneCP5_13p6TeV_pythia8						7.47953e+06	1.93504e+262 	7.47953e+06	29.1		29.1
ZZ_TuneCP5_13p6TeV_pythia8						1.18175e+06	1.74166e+103 	1.18175e+06	17.75		17.75
QCD-4Jets_HT-100to200_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.91441e+07	3.13566e+15 	3.13566e+15	25400000	25400000
QCD-4Jets_HT-200to400_TuneCP5_13p6TeV_madgraphMLM-pythia8		2.06789e+07	3.55699e+14 	3.55699e+14	1961000		1961000
QCD-4Jets_HT-400to600_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.95117e+07	2.04047e+13 	2.04047e+13	95620		95620
