Sample	 								Entries 	SumofLHEWeights SumofGENWeights	XSec		XSecDB
TTtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8				1.52653e+08	5.10346e+10 	5.10346e+10	404.54		404.54
TTto4Q_TuneCP5_13p6TeV_powheg-pythia8					1.04829e+08	3.64103e+10 	3.64103e+10	422.08		422.08
TTto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8				4.80743e+07	3.86735e+09 	3.86735e+09	96.98		96.98
TbarWplustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8				0		0 		0		19.25		36.05
TbarWplusto4Q_TuneCP5_13p6TeV_powheg-pythia8				7.8626e+06	1.29235e+08 	1.29235e+08	20.08		36.05
TWminustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8				9.65027e+06	3.47276e+08 	3.47276e+08	19.25		35.99
TWminusto4Q_TuneCP5_13p6TeV_powheg-pythia8				7.8653e+06	1.29018e+08 	1.29018e+08	20.08		35.99
TbarBQ_t-channel_4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8		2.878e+06	2.18222e+08 	2.18222e+08	87.2		75.47
TBbarQ_t-channel_4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8		5.908e+06	7.35644e+08 	7.35644e+08	145.0		123.8
Zto2Q-2Jets_PTQQ-100to200_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	1.89673e+07	3.52944e+10 	3.52944e+10	302.		302.
Zto2Q-2Jets_PTQQ-100to200_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	1.91357e+07	3.9156e+10 	3.9156e+10	343.9		343.9
Zto2Q-2Jets_PTQQ-200to400_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	8.98236e+06	1.19483e+09 	1.19483e+09	21.64		21.64
Zto2Q-2Jets_PTQQ-200to400_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	2.00147e+07	3.17157e+09 	3.17157e+09	48.36		48.36
Zto2Q-2Jets_PTQQ-400to600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	936126		5.3697e+06 	5.3697e+06	0.7376		0.7376
Zto2Q-2Jets_PTQQ-400to600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	1.34558e+06	8.67084e+06 	8.67084e+06	2.683		2.683
Zto2Q-2Jets_PTQQ-600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8		1.04303e+06	799181 		799181		0.08717		0.08717
Zto2Q-2Jets_PTQQ-600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8		1.02325e+06	873594 		873594		0.4459		0.4459
Wto2Q-2Jets_PTQQ-100to200_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	9.91683e+07	9.56635e+11 	9.56635e+11	1517.		1517.
Wto2Q-2Jets_PTQQ-100to200_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	9.33993e+07	9.78808e+11 	9.78808e+11	1757.		1757.
Wto2Q-2Jets_PTQQ-200to400_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	2.0285e+07	1.29852e+10 	1.29852e+10	103.6		103.6
Wto2Q-2Jets_PTQQ-200to400_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	4.43637e+07	3.28686e+10 	3.28686e+10	227.1		227.1
Wto2Q-2Jets_PTQQ-400to600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	912601		2.44465e+07 	2.44465e+07	3.496		3.496
Wto2Q-2Jets_PTQQ-400to600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	3.12322e+06	9.3087e+07 	9.3087e+07	12.75		12.75
Wto2Q-2Jets_PTQQ-600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8		825202		3.05579e+06 	3.05579e+06	0.4221		0.4221
Wto2Q-2Jets_PTQQ-600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8		974387		3.87756e+06 	3.87756e+06	2.128		2.128
WWto4Q_TuneCP5_13p6TeV_powheg-pythia8					5.54513e+07	2.81638e+09 	2.81638e+09	50.79		50.79
WZ_TuneCP5_13p6TeV_pythia8						1.67073e+07	1.6024e+266 	1.67312e+07	29.1		29.1
ZZ_TuneCP5_13p6TeV_pythia8						2.517e+06	1.46654e+257 	2.517e+06	17.75		17.75
QCD-4Jets_HT-100to200_TuneCP5_13p6TeV_madgraphMLM-pythia8		3.927e+07	6.43959e+15 	6.43959e+15	25400000	25400000
QCD-4Jets_HT-200to400_TuneCP5_13p6TeV_madgraphMLM-pythia8		3.74327e+07	6.44151e+14 	6.44151e+14	1961000		1961000
QCD-4Jets_HT-400to600_TuneCP5_13p6TeV_madgraphMLM-pythia8		3.70625e+07	3.87551e+13 	3.87551e+13	95620		95620
QCD-4Jets_HT-600to800_TuneCP5_13p6TeV_madgraphMLM-pythia8		3.43997e+07	5.5435e+12 	5.5435e+12	13540		13540
QCD-4Jets_HT-800to1000_TuneCP5_13p6TeV_madgraphMLM-pythia8		3.78108e+07	1.43619e+12 	1.43619e+12	3033		3033
QCD-4Jets_HT-1000to1200_TuneCP5_13p6TeV_madgraphMLM-pythia8		3.21011e+07	3.67516e+11 	3.67516e+11	883.7		883.7
QCD-4Jets_HT-1200to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8		4.02968e+07	2.03709e+11 	2.03709e+11	383.5		383.5
QCD-4Jets_HT-1500to2000_TuneCP5_13p6TeV_madgraphMLM-pythia8		3.96422e+07	6.65883e+10 	6.65883e+10	125.2		125.2
QCD-4Jets_HT-2000_TuneCP5_13p6TeV_madgraphMLM-pythia8			4.22541e+07	1.47723e+10 	1.47723e+10	26.49		26.49
GluGluHto2B_M-125_TuneCP5_13p6TeV_powheg-minlo-pythia8			1.0911e+07	3.29963e+08	3.29963e+08	30.4188		30.4188
VBFHto2B_M-125_TuneCP5_13p6TeV_powheg-pythia8				1.1049e+07	4.61763e+07	4.61763e+07	2.3750		2.3750
WminusH_Hto2B_Wto2Q_M-125_TuneCP5_13p6TeV_powheg-pythia8		1.10649e+07	4.73728e+06	4.73728e+06	0.2231		0.2231
WplusH_Hto2B_Wto2Q_M-125_TuneCP5_13p6TeV_powheg-pythia8			1.10324e+07	7.80276e+06	7.80276e+06	0.3532		0.3532
ZH_Hto2B_Zto2Q_M-125_TuneCP5_13p6TeV_powheg-pythia8			1.1007e+07	6.56083e+06	6.56083e+06	0.3883		0.3883
GluGlutoHHto4B_kl-1p00_kt-1p00_c2-0p00_TuneCP5_13p6TeV_powheg-pythia8	6.58814e+06	195208		195208		0.0117		0.0117
