Sample	 								Entries 	SumofLHEWeights 	SumofGENWeights	XSec		XSecDB
TTtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8				6.3833e+07	2.13408e+10 		2.13408e+10	404.54		404.54
TTto4Q_TuneCP5_13p6TeV_powheg-pythia8					5.2849e+07	1.83567e+10 		1.83567e+10	422.08		422.08
TTto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8				2.4556e+07	1.97548e+09 		1.97548e+09	96.98		96.98
TbarWplustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8				5.14663e+06	1.85555e+08 		1.85555e+08	19.25		36.05
TbarWplusto4Q_TuneCP5_13p6TeV_powheg-pythia8				3.976e+06	6.53325e+07 		6.53325e+07	20.08		36.05
TWminustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8				4.94338e+06	1.77893e+08 		1.77893e+08	19.25		35.99
TWminusto4Q_TuneCP5_13p6TeV_powheg-pythia8				3.934e+06	6.45209e+07 		6.45209e+07	20.08		35.99
TbarBQ_t-channel_4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8		1.488e+06	1.12771e+08 		1.12771e+08	87.2		75.47
TBbarQ_t-channel_4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8		2.954e+06	3.67889e+08 		3.67889e+08	145.0		123.8
Zto2Q-2Jets_PTQQ-100to200_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	1.01266e+07	1.88665e+10 		1.88665e+10	302.		302.
Zto2Q-2Jets_PTQQ-100to200_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	9.62957e+06	1.9741e+10 		1.9741e+10	343.9		343.9
Zto2Q-2Jets_PTQQ-200to400_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	4.48437e+06	5.96021e+08 		5.96021e+08	21.64		21.64
Zto2Q-2Jets_PTQQ-200to400_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	1.0218e+07	1.62164e+09 		1.62164e+09	48.36		48.36
Zto2Q-2Jets_PTQQ-400to600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	491910		2.8253e+06 		2.8253e+06	0.7376		0.7376
Zto2Q-2Jets_PTQQ-400to600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	720919		4.6592e+06 		4.6592e+06	2.683		2.683
Zto2Q-2Jets_PTQQ-600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8		481973		369092 			369092		0.08717		0.08717
Zto2Q-2Jets_PTQQ-600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8		505354		430246 			430246		0.4459		0.4459
Wto2Q-2Jets_PTQQ-100to200_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	4.92833e+07	4.75436e+11 		4.75436e+11	1517.		1517.
Wto2Q-2Jets_PTQQ-100to200_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	4.32743e+07	4.53341e+11 		4.53341e+11	1757.		1757.
Wto2Q-2Jets_PTQQ-200to400_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	1.05371e+07	6.74483e+09 		6.74483e+09	103.6		103.6
Wto2Q-2Jets_PTQQ-200to400_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	2.31631e+07	1.71519e+10 		1.71519e+10	227.1		227.1
Wto2Q-2Jets_PTQQ-400to600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	485595		1.30432e+07 		1.30432e+07	3.496		3.496
Wto2Q-2Jets_PTQQ-400to600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8	1.4539e+06	4.33526e+07 		4.33526e+07	12.75		12.75
Wto2Q-2Jets_PTQQ-600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8		500652		1.85109e+06 		1.85109e+06	0.4221		0.4221
Wto2Q-2Jets_PTQQ-600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8		493358		1.97052e+06 		1.97052e+06	2.128		2.128
WWto4Q_TuneCP5_13p6TeV_powheg-pythia8					2.7871e+07	1.41556e+09 		1.41556e+09	50.79		50.79
WZ_TuneCP5_13p6TeV_pythia8						8.379e+06	2.79967e+257 		8.379e+06	29.1		29.1
ZZ_TuneCP5_13p6TeV_pythia8						1.254e+06	4.71139e+156 		1.254e+06	17.75		17.75
QCD-4Jets_HT-100to200_TuneCP5_13p6TeV_madgraphMLM-pythia8		2.03816e+07	3.34237e+15 		3.34237e+15	25400000	25400000
QCD-4Jets_HT-200to400_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.70697e+07	2.93735e+14 		2.93735e+14	1961000		1961000
QCD-4Jets_HT-400to600_TuneCP5_13p6TeV_madgraphMLM-pythia8		2.07371e+07	2.16833e+13 		2.16833e+13	95620		95620
QCD-4Jets_HT-600to800_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.96743e+07	3.17036e+12 		3.17036e+12	13540		13540
QCD-4Jets_HT-800to1000_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.79283e+07	6.81046e+11 		6.81046e+11	3033		3033
QCD-4Jets_HT-1000to1200_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.81966e+07	2.0831e+11 		2.0831e+11	883.7		883.7
QCD-4Jets_HT-1200to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.92437e+07	9.72792e+10 		9.72792e+10	383.5		383.5
QCD-4Jets_HT-1500to2000_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.70769e+07	2.8684e+10 		2.8684e+10	125.2		125.2
QCD-4Jets_HT-2000_TuneCP5_13p6TeV_madgraphMLM-pythia8			1.91019e+07	6.67745e+09 		6.67745e+09	26.49		26.49
GluGluHto2B_M-125_TuneCP5_13p6TeV_powheg-minlo-pythia8			5.549e+06	1.67793e+08		1.67793e+08	30.4188		30.4188
VBFHto2B_M-125_TuneCP5_13p6TeV_powheg-pythia8				5.582e+06	2.33275e+07		2.33275e+07	2.3750		2.3750
WminusH_Hto2B_Wto2Q_M-125_TuneCP5_13p6TeV_powheg-pythia8		5.53102e+06	2.47289e+06		2.47289e+06	0.2231		0.2231
WplusH_Hto2B_Wto2Q_M-125_TuneCP5_13p6TeV_powheg-pythia8			5.53802e+06	3.53786e+06		3.53786e+06	0.3532		0.3532
ZH_Hto2B_Zto2Q_M-125_TuneCP5_13p6TeV_powheg-pythia8			5.47474e+06	3.26309e+06		3.26309e+06	0.3883		0.3883
GluGlutoHHto4B_kl-1p00_kt-1p00_c2-0p00_TuneCP5_13p6TeV_powheg-pythia8	3.30478e+06	97873.6			97873.6		0.0117		0.0117
