Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM_XtoYHto4B_MX-300_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.00861e+16 	1.00861e+16
NMSSM_XtoYHto4B_MX-300_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	33000	9.80182e+15 	9.80182e+15
NMSSM_XtoYHto4B_MX-300_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	33000	9.47082e+15 	9.47082e+15
NMSSM_XtoYHto4B_MX-300_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	33000	9.08928e+15 	9.08928e+15
NMSSM_XtoYHto4B_MX-300_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.87301e+15 	8.87301e+15
NMSSM_XtoYHto4B_MX-300_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.65063e+15 	8.65063e+15
NMSSM_XtoYHto4B_MX-300_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	7.25904e+15 	7.25904e+15
NMSSM_XtoYHto4B_MX-300_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	33000	5.22598e+15 	5.22598e+15
NMSSM_XtoYHto4B_MX-400_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.5721e+15 	4.5721e+15
NMSSM_XtoYHto4B_MX-400_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	32000	4.38012e+15 	4.38012e+15
NMSSM_XtoYHto4B_MX-400_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.45794e+15 	4.45794e+15
NMSSM_XtoYHto4B_MX-400_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.39122e+15 	4.39122e+15
NMSSM_XtoYHto4B_MX-400_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.35126e+15 	4.35126e+15
NMSSM_XtoYHto4B_MX-400_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.31259e+15 	4.31259e+15
NMSSM_XtoYHto4B_MX-400_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.07814e+15 	4.07814e+15
