Sample	 								Entries 	 SumofLHEWeights 	SumofGENWeights	XSec		XSecDB
TTtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8				4.84298e+08	1.61908e+11 		1.61908e+11	404.54		404.54
TTto4Q_TuneCP5_13p6TeV_powheg-pythia8					4.684e+08	1.6269e+11 		1.6269e+11	422.08		422.08
TTto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8				4.51002e+08	3.62819e+10 		3.62819e+10	96.98		96.98
TbarWplustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8				2.93279e+07	1.05738e+09 		1.05738e+09	19.25		36.05
TbarWplusto4Q_TuneCP5_13p6TeV_powheg-pythia8				2.4e+07		3.94363e+08 		3.94363e+08	20.08		36.05
TWminustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8				2.87624e+07	1.03505e+09 		1.03505e+09	19.25		35.99
TWminusto4Q_TuneCP5_13p6TeV_powheg-pythia8				2.39e+07	3.91984e+08 		3.91984e+08	20.08		35.99
TbarBQto2Q-t-channel-4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8		4.32791e+07	2.02623e+09 		2.02623e+09	46.73		50.56
TBbarQto2Q-t-channel-4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8		8.7152e+07	6.76313e+09 		6.76313e+09	77.26		82.95
WW_TuneCP5_13p6TeV_pythia8						6.39471e+07	7.31951e+266 		6.39476e+07	80.23		80.23
WWto4Q_TuneCP5_13p6TeV_powheg-pythia8					1.52114e+08	7.72588e+09 		7.72588e+09	50.79		50.79
WZ_TuneCP5_13p6TeV_pythia8						3.05471e+07	9.00668e+280 		3.05471e+07	29.1		29.1
WZto4Q-1Jets-4FS_TuneCP5_13p6TeV_amcatnloFXFX-pythia8			6.13287e+06	2.54392e+08 		2.54392e+08	24.88		24.88
ZZ_TuneCP5_13p6TeV_pythia8						4.8e+06		2.08906e+266 		4.8e+06		17.75		17.75
ZZto4Q-1Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8			4.97187e+06	6.58873e+07 		6.58873e+07	7.78		7.78
QCD-4Jets_Bin-HT-100to200_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.20388e+08	1.97229e+16 		1.97229e+16	25400000	25400000
QCD-4Jets_Bin-HT-200to400_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.15255e+08	1.98242e+15 		1.98242e+15	1961000		1961000
QCD-4Jets_Bin-HT-400to600_TuneCP5_13p6TeV_madgraphMLM-pythia8		6.71206e+07	7.01665e+13 		7.01665e+13	95620		95620
QCD-4Jets_Bin-HT-600to800_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.28193e+08	2.06579e+13 		2.06579e+13	13540		13540
QCD-4Jets_Bin-HT-800to1000_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.2513e+08	4.753e+12 		4.753e+12	3033		3033
QCD-4Jets_Bin-HT-1000to1200_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.14325e+08	1.30874e+12 		1.30874e+12	883.7		883.7
QCD-4Jets_Bin-HT-1200to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.07266e+08	5.42178e+11 		5.42178e+11	383.5		383.5
QCD-4Jets_Bin-HT-1500to2000_TuneCP5_13p6TeV_madgraphMLM-pythia8		1.12771e+08	1.89417e+11 		1.89417e+11	125.2		125.2
QCD-4Jets_Bin-HT-2000_TuneCP5_13p6TeV_madgraphMLM-pythia8		9.19972e+07	3.21322e+10 		3.21322e+10	26.49		26.49
GluGluH-Hto2B_Par-M-125_TuneCP5_13p6TeV_powhegMINLO-pythia8		1.99329e+07	6.02822e+08 		6.02822e+08	30.4188		30.4188
VBFH-Hto2B_Par-M-125_TuneCP5_13p6TeV_powheg-pythia8			1.99903e+07	8.35416e+07 		8.35416e+07	2.3750		2.3750
WminusH-Wto2Q-Hto2B_Par-M-125_TuneCP5_13p6TeV_powhegMINLO-pythia8	3.96691e+06	1.58656e+06 		1.58656e+06	0.2231		0.2231
WplusH-Wto2Q-Hto2B_Par-M-125_TuneCP5_13p6TeV_powhegMINLO-pythia8	6.26182e+06	5.05325e+06 		5.05325e+06	0.3532		0.3532
ZH-Zto2Q-Hto2B_Par-M-125_TuneCP5_13p6TeV_powhegMINLO-pythia8		2.87759e+06	1.71523e+06 		1.71523e+06	0.3883		0.3883
