Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM-XtoYHto4B_Par-MX-300-MY-60_TuneCP5_13p6TeV_madgraph-pythia8	100000	3.05589e+16 	3.05589e+16
NMSSM-XtoYHto4B_Par-MX-300-MY-70_TuneCP5_13p6TeV_madgraph-pythia8	99000	2.9408e+16 	2.9408e+16
NMSSM-XtoYHto4B_Par-MX-300-MY-80_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.87035e+16 	2.87035e+16
NMSSM-XtoYHto4B_Par-MX-300-MY-90_TuneCP5_13p6TeV_madgraph-pythia8	99000	2.7273e+16 	2.7273e+16
NMSSM-XtoYHto4B_Par-MX-300-MY-95_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.68947e+16 	2.68947e+16
NMSSM-XtoYHto4B_Par-MX-300-MY-100_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.62059e+16 	2.62059e+16
NMSSM-XtoYHto4B_Par-MX-300-MY-125_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-300-MY-150_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.58334e+16 	1.58334e+16
NMSSM-XtoYHto4B_Par-MX-400-MY-60_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.38534e+16 	1.38534e+16
NMSSM-XtoYHto4B_Par-MX-400-MY-70_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.36985e+16 	1.36985e+16
NMSSM-XtoYHto4B_Par-MX-400-MY-80_TuneCP5_13p6TeV_madgraph-pythia8	99000	1.33789e+16 	1.33789e+16
NMSSM-XtoYHto4B_Par-MX-400-MY-90_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.3301e+16 	1.3301e+16
NMSSM-XtoYHto4B_Par-MX-400-MY-95_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.31897e+16 	1.31897e+16
NMSSM-XtoYHto4B_Par-MX-400-MY-100_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.30676e+16 	1.30676e+16
NMSSM-XtoYHto4B_Par-MX-400-MY-125_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
