Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM_XtoYHto4B_MX-300_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.47277e+16 	1.47277e+16
NMSSM_XtoYHto4B_MX-300_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.0471e+16 	2.0471e+16
NMSSM_XtoYHto4B_MX-300_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.84494e+16 	1.84494e+16
NMSSM_XtoYHto4B_MX-400_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	67000	8.27982e+15 	8.27982e+15
NMSSM_XtoYHto4B_MX-400_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.07445e+15 	6.07445e+15
NMSSM_XtoYHto4B_MX-400_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	67000	9.28107e+15 	9.28107e+15
NMSSM_XtoYHto4B_MX-400_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	8.9138e+15 	8.9138e+15
NMSSM_XtoYHto4B_MX-650_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	64000	1.67256e+15 	1.67256e+15
NMSSM_XtoYHto4B_MX-650_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.63157e+15 	1.63157e+15
NMSSM_XtoYHto4B_MX-650_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.01304e+15 	1.01304e+15
NMSSM_XtoYHto4B_MX-650_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	64000	1.7277e+15 	1.7277e+15
NMSSM_XtoYHto4B_MX-650_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.79534e+15 	1.79534e+15
NMSSM_XtoYHto4B_MX-900_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	67000	4.9595e+14 	4.9595e+14
NMSSM_XtoYHto4B_MX-900_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	67000	4.79766e+14 	4.79766e+14
NMSSM_XtoYHto4B_MX-900_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.37627e+14 	3.37627e+14
NMSSM_XtoYHto4B_MX-900_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	64000	2.48004e+14 	2.48004e+14
NMSSM_XtoYHto4B_MX-900_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	67000	5.03898e+14 	5.03898e+14
NMSSM_XtoYHto4B_MX-900_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	5.00954e+14 	5.00954e+14
NMSSM_XtoYHto4B_MX-1200_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.40928e+14 	1.40928e+14
NMSSM_XtoYHto4B_MX-1200_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.33314e+14 	1.33314e+14
NMSSM_XtoYHto4B_MX-1200_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.26136e+14 	1.26136e+14
NMSSM_XtoYHto4B_MX-1200_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.0545e+14 	1.0545e+14
NMSSM_XtoYHto4B_MX-1200_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	64000	1.35818e+14 	1.35818e+14
NMSSM_XtoYHto4B_MX-1200_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.41728e+14 	1.41728e+14
NMSSM_XtoYHto4B_MX-1800_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	52000	1.40926e+13 	1.40926e+13
NMSSM_XtoYHto4B_MX-1800_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	64000	1.69403e+13 	1.69403e+13
NMSSM_XtoYHto4B_MX-1800_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	64000	1.65494e+13 	1.65494e+13
NMSSM_XtoYHto4B_MX-1800_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.61851e+13 	1.61851e+13
NMSSM_XtoYHto4B_MX-1800_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.82298e+13 	1.82298e+13
NMSSM_XtoYHto4B_MX-1800_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.82098e+13 	1.82098e+13
NMSSM_XtoYHto4B_MX-2500_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.51326e+12 	2.51326e+12
NMSSM_XtoYHto4B_MX-2500_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	64000	2.39084e+12 	2.39084e+12
NMSSM_XtoYHto4B_MX-2500_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.454e+12 	2.454e+12
NMSSM_XtoYHto4B_MX-2500_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.37399e+12 	2.37399e+12
NMSSM_XtoYHto4B_MX-2500_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.51858e+12 	2.51858e+12
NMSSM_XtoYHto4B_MX-2500_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.51651e+12 	2.51651e+12
NMSSM_XtoYHto4B_MX-4000_MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.3116e+10 	6.3116e+10
NMSSM_XtoYHto4B_MX-4000_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	65000	6.52719e+10 	6.52719e+10
NMSSM_XtoYHto4B_MX-4000_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.71628e+10 	6.71628e+10
NMSSM_XtoYHto4B_MX-4000_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.66333e+10 	6.66333e+10
NMSSM_XtoYHto4B_MX-4000_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	65000	6.38543e+10 	6.38543e+10
NMSSM_XtoYHto4B_MX-4000_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.73045e+10 	6.73045e+10
NMSSM_XtoYHto4B_MX-4000_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	65000	6.53013e+10 	6.53013e+10
NMSSM_XtoYHto4B_MX-300_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	64000	1.90082e+16 	1.90082e+16
NMSSM_XtoYHto4B_MX-300_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.92256e+16 	1.92256e+16
NMSSM_XtoYHto4B_MX-300_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.80193e+16 	1.80193e+16
NMSSM_XtoYHto4B_MX-300_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.7559e+16 	1.7559e+16
NMSSM_XtoYHto4B_MX-300_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.06099e+16 	1.06099e+16
NMSSM_XtoYHto4B_MX-400_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	67000	9.17335e+15 	9.17335e+15
NMSSM_XtoYHto4B_MX-400_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	67000	9.05372e+15 	9.05372e+15
NMSSM_XtoYHto4B_MX-400_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	66000	8.70321e+15 	8.70321e+15
NMSSM_XtoYHto4B_MX-400_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	67000	8.75757e+15 	8.75757e+15
NMSSM_XtoYHto4B_MX-400_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	67000	7.68816e+15 	7.68816e+15
NMSSM_XtoYHto4B_MX-500_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	67000	4.55852e+15 	4.55852e+15
NMSSM_XtoYHto4B_MX-500_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	67000	4.5293e+15 	4.5293e+15
NMSSM_XtoYHto4B_MX-500_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	67000	4.4978e+15 	4.4978e+15
NMSSM_XtoYHto4B_MX-500_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	4.45894e+15 	4.45894e+15
NMSSM_XtoYHto4B_MX-500_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	64000	4.23656e+15 	4.23656e+15
NMSSM_XtoYHto4B_MX-500_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	67000	4.41307e+15 	4.41307e+15
NMSSM_XtoYHto4B_MX-500_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	64000	4.09506e+15 	4.09506e+15
NMSSM_XtoYHto4B_MX-500_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	64000	3.94252e+15 	3.94252e+15
NMSSM_XtoYHto4B_MX-500_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.71763e+15 	3.71763e+15
NMSSM_XtoYHto4B_MX-500_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.4423e+15 	2.4423e+15
NMSSM_XtoYHto4B_MX-600_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	64000	2.31347e+15 	2.31347e+15
NMSSM_XtoYHto4B_MX-600_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.41136e+15 	2.41136e+15
NMSSM_XtoYHto4B_MX-600_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	24000	8.59848e+14 	8.59848e+14
NMSSM_XtoYHto4B_MX-600_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.38575e+15 	2.38575e+15
NMSSM_XtoYHto4B_MX-600_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.37992e+15 	2.37992e+15
NMSSM_XtoYHto4B_MX-600_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.37225e+15 	2.37225e+15
NMSSM_XtoYHto4B_MX-600_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.32758e+15 	2.32758e+15
NMSSM_XtoYHto4B_MX-600_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.27477e+15 	2.27477e+15
NMSSM_XtoYHto4B_MX-600_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.13489e+15 	2.13489e+15
NMSSM_XtoYHto4B_MX-600_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.72924e+15 	1.72924e+15
NMSSM_XtoYHto4B_MX-600_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.10161e+15 	1.10161e+15
NMSSM_XtoYHto4B_MX-650_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	64000	1.72251e+15 	1.72251e+15
NMSSM_XtoYHto4B_MX-650_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.79534e+15 	1.79534e+15
NMSSM_XtoYHto4B_MX-650_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.78738e+15 	1.78738e+15
NMSSM_XtoYHto4B_MX-650_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.78222e+15 	1.78222e+15
NMSSM_XtoYHto4B_MX-650_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.77888e+15 	1.77888e+15
NMSSM_XtoYHto4B_MX-650_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.7174e+15 	1.7174e+15
NMSSM_XtoYHto4B_MX-650_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.38166e+15 	1.38166e+15
NMSSM_XtoYHto4B_MX-650_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	67000	4.25566e+14 	4.25566e+14
NMSSM_XtoYHto4B_MX-700_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.36993e+15 	1.36993e+15
