Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM_XtoYHto4B_MX-300_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	7.25904e+15 	7.25904e+15
NMSSM_XtoYHto4B_MX-300_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.00861e+16 	1.00861e+16
NMSSM_XtoYHto4B_MX-300_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.87301e+15 	8.87301e+15
NMSSM_XtoYHto4B_MX-400_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.07814e+15 	4.07814e+15
NMSSM_XtoYHto4B_MX-400_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.99184e+15 	2.99184e+15
NMSSM_XtoYHto4B_MX-400_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.5721e+15 	4.5721e+15
NMSSM_XtoYHto4B_MX-400_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.35126e+15 	4.35126e+15
NMSSM_XtoYHto4B_MX-650_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.622e+14 	8.622e+14
NMSSM_XtoYHto4B_MX-650_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.03814e+14 	8.03814e+14
NMSSM_XtoYHto4B_MX-650_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.99053e+14 	4.99053e+14
NMSSM_XtoYHto4B_MX-650_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.90887e+14 	8.90887e+14
NMSSM_XtoYHto4B_MX-650_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.78412e+14 	8.78412e+14
NMSSM_XtoYHto4B_MX-900_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.44256e+14 	2.44256e+14
NMSSM_XtoYHto4B_MX-900_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.36386e+14 	2.36386e+14
NMSSM_XtoYHto4B_MX-900_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.96554e+14 	1.96554e+14
NMSSM_XtoYHto4B_MX-900_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.27934e+14 	1.27934e+14
NMSSM_XtoYHto4B_MX-900_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.48225e+14 	2.48225e+14
NMSSM_XtoYHto4B_MX-900_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.46342e+14 	2.46342e+14
NMSSM_XtoYHto4B_MX-1200_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.94539e+13 	6.94539e+13
NMSSM_XtoYHto4B_MX-1200_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.82167e+13 	6.82167e+13
NMSSM_XtoYHto4B_MX-1200_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.21192e+13 	6.21192e+13
NMSSM_XtoYHto4B_MX-1200_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	33000	5.19147e+13 	5.19147e+13
NMSSM_XtoYHto4B_MX-1200_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	7.00152e+13 	7.00152e+13
NMSSM_XtoYHto4B_MX-1200_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.9765e+13 	6.9765e+13
NMSSM_XtoYHto4B_MX-1800_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.94561e+12 	8.94561e+12
NMSSM_XtoYHto4B_MX-1800_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.87463e+12 	8.87463e+12
NMSSM_XtoYHto4B_MX-1800_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.53674e+12 	8.53674e+12
NMSSM_XtoYHto4B_MX-1800_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	33000	7.97451e+12 	7.97451e+12
